# P17 | SD_of_Philadelphia_2021-2024.pdf | page 148
# title: High School Athletic Coach Salaries
# cells: 148 | previously shown: 88 | vision_agreement: 0.000
step,9/1/20,9/1/21,9/1/22,9/1/23
Badminton Coach,2952.0,2952.0,2952.0,3040.0
Baseball Head Coach,6173.0,6173.0,6173.0,6359.0
First Assistant,4427.0,4427.0,4427.0,4559.0
Second Assistant,3222.0,3222.0,3222.0,3319.0
Basketball Head Coach,7089.0,7089.0,7089.0,7302.0
First Assistant,4427.0,4427.0,4427.0,4559.0
Second Assistant,3222.0,3222.0,3222.0,3319.0
Cheerleading Coach Fall,2952.0,2952.0,2952.0,3040.0
Cheerleading Coach Winter,2952.0,2952.0,2952.0,3040.0
Cross Country Head Coach,4427.0,4427.0,4427.0,4559.0
First Assistant,3222.0,3222.0,3222.0,3319.0
Field Hockey Head Coach,6173.0,6173.0,6173.0,6359.0
First Assistant,4427.0,4427.0,4427.0,4559.0
Football Head Coach,8266.0,8266.0,8266.0,8514.0
First Assistant,5574.0,5574.0,5574.0,5741.0
Second Assistant,5574.0,5574.0,5574.0,5741.0
Third Assistant,4396.0,4396.0,4396.0,4528.0
Fourth Assistant,4396.0,4396.0,4396.0,4528.0
Fifth Assistant,4396.0,4396.0,4396.0,4528.0
Golf Coach,2952.0,2952.0,2952.0,3040.0
Lacrosse Head Coach,6173.0,6173.0,6173.0,6359.0
First Assistant,4427.0,4427.0,4427.0,4559.0
Soccer Head Coach,6173.0,6173.0,6173.0,6359.0
First Assistant,4427.0,4427.0,4427.0,4559.0
Second Assistant,3222.0,3222.0,3222.0,3319.0
Softball Head Coach,6173.0,6173.0,6173.0,6359.0
First Assistant,4427.0,4427.0,4427.0,4559.0
Second Assistant,3222.0,3222.0,3222.0,3319.0
Swimming Coach,4427.0,4427.0,4427.0,4559.0
Tennis Coach,4427.0,4427.0,4427.0,4559.0
Track and Field Head Coach,6173.0,6173.0,6173.0,6359.0
First Assistant,4427.0,4427.0,4427.0,4559.0
Second Assistant,3222.0,3222.0,3222.0,3319.0
Volleyball Head Coach,6173.0,6173.0,6173.0,6359.0
First Assistant,4427.0,4427.0,4427.0,4559.0
Wrestling Head Coach,6173.0,6173.0,6173.0,6359.0
First Assistant,4427.0,4427.0,4427.0,4559.0
