# P27 | ATF-Negotiated-Agreement_2018-19.pdf | page 77
# title: Level 1 Level 2 Level 3
# cells: 270 | previously shown: 90 | vision_agreement: 0.885
step,MA,Ph.D.,MA,Ph.D.,MA,Ph.D.
1,36000.0,40000.0,44000.0,45320.0,54000.0,55620.0
2,36001.0,40001.0,44001.0,45321.0,54001.0,55678.0
3,36002.0,40002.0,44002.0,45322.0,54002.0,55736.0
4,36003.0,40003.0,44003.0,45323.0,54003.0,55794.0
5,36004.0,40004.0,44004.0,45324.0,54004.0,55852.0
6,38249.0,42249.0,44005.0,45325.0,54005.0,55910.0
7,38250.0,42250.0,44006.0,45326.0,54006.0,55968.0
8,38251.0,42251.0,44007.0,45327.0,54007.0,56026.0
9,38252.0,42252.0,44008.0,45328.0,54008.0,56084.0
10,38253.0,42253.0,44009.0,45329.0,54009.0,56142.0
11,40493.0,42254.0,44209.0,45330.0,54010.0,56200.0
12,40494.0,42255.0,44210.0,45331.0,54011.0,56258.0
13,40495.0,42256.0,44211.0,45332.0,54012.0,56316.0
14,40750.0,42257.0,44212.0,45333.0,54013.0,56374.0
15,40751.0,42258.0,44213.0,45334.0,54014.0,56432.0
16,40752.0,42259.0,46648.0,47844.0,54015.0,56490.0
17,40753.0,42260.0,46649.0,47845.0,55255.0,56548.0
18,43253.0,44260.0,46650.0,47846.0,55256.0,56606.0
19,43254.0,44261.0,46651.0,47847.0,55257.0,56664.0
20,43255.0,44262.0,47486.0,48847.0,55258.0,56914.0
21,43256.0,44263.0,47536.0,48848.0,55259.0,57164.0
22,43257.0,44264.0,47537.0,48849.0,55260.0,57414.0
23,43258.0,44265.0,47538.0,48850.0,55261.0,57664.0
24,43259.0,44266.0,47539.0,48851.0,55262.0,57914.0
25,43260.0,44267.0,47540.0,48852.0,55263.0,58164.0
26,43261.0,44268.0,47541.0,48853.0,55264.0,58414.0
27,43262.0,44269.0,47542.0,48854.0,55265.0,58664.0
28,43263.0,44270.0,47543.0,48855.0,57800.0,58914.0
29,43264.0,44271.0,47544.0,48856.0,59610.0,59914.0
30,43265.0,44272.0,47545.0,48857.0,61415.0,61714.0
31,43266.0,44273.0,47546.0,48858.0,63225.0,63514.0
32,43267.0,44274.0,47547.0,48859.0,64490.0,65314.0
33,43268.0,44275.0,47548.0,48860.0,64675.0,66834.0
34,43269.0,44276.0,47549.0,48861.0,64860.0,66884.0
35,43270.0,44277.0,47550.0,48862.0,65045.0,66934.0
36,43271.0,44278.0,47551.0,48863.0,65230.0,66984.0
37,43272.0,44279.0,47552.0,48864.0,65415.0,67034.0
38,43273.0,44280.0,47553.0,48865.0,65600.0,67084.0
39,43274.0,44281.0,47554.0,48866.0,65785.0,67134.0
40,43275.0,44282.0,47555.0,48867.0,65970.0,67184.0
41,43276.0,44283.0,47556.0,48868.0,68540.0,68684.0
42,43277.0,44284.0,47557.0,48869.0,68541.0,68734.0
43,43278.0,44285.0,47558.0,48870.0,68542.0,68784.0
44,43279.0,44286.0,47559.0,48871.0,68543.0,68834.0
45,43280.0,44287.0,47560.0,48872.0,68544.0,68884.0
