id,pdf,page,verdict,wrong_cells_approx,notes
P03,33.pdf,680,,,
P06,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,376,,,
P07,SD_of_Philadelphia_2021-2024.pdf,142,,,
P08,ATF-Negotiated-Agreement_2018-19.pdf,74,,,
P11,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,402,,,
P14,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,344,,,
P16,Pittsburgh_10-15.pdf,28,,,
P17,SD_of_Philadelphia_2021-2024.pdf,148,,,
P20,33.pdf,681,,,
P25,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,328,,,
P27,ATF-Negotiated-Agreement_2018-19.pdf,77,,,
