id,band,pdf,page,cells,agreement,method,title
P01,A_high,17_19_ta_.pdf,3,218,0.913,geometry_vector,2017-18 Teachers Salary Schedule Tentative Agreement (TA)
P02,C_low,17_19_ta_.pdf,2,218,0.106,geometry_vector,2016-17 Teachers Salary Schedule
P03,C_low,33.pdf,680,76,0.105,geometry_vector,5
P04,B_mid,33.pdf,689,312,0.872,geometry_vector,TEACHERASSISTANTS STEPS GRADE EMPLOYEE DAYS GROUP OVER
P05,D_unverifiable,Pittsburgh_10-15.pdf,30,140,,legacy_vision,Preschool Teachers
P06,A_high,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,376,484,0.933,geometry_vector,"over the 2% increase effective July 1, 2015. This table applies only t"
P07,C_low,SD_of_Philadelphia_2021-2024.pdf,142,88,0.489,geometry_vector,* * * * * * Demonstration Teacher Bachelor’s or Equivalent Master’s or
P08,C_low,ATF-Negotiated-Agreement_2018-19.pdf,74,84,0.143,geometry_vector,
P09,A_high,33.pdf,692,484,0.918,geometry_vector,MAINTENANCE/OPERATIONS(ALL HOURLY RATES ARE BASED ON 8 HOURS/DAY) STEP
P10,D_unverifiable,Columbus_Education_Association_2022-2025.pdf,102,192,0.698,legacy_structured,902.02
P11,B_mid,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,402,300,0.898,geometry_vector,"t‐UTLACollectiveBargainingAgreement,ArticlesXIV,XV,andAppendixEforrule"
P12,B_mid,ATF-Negotiated-Agreement_2018-19.pdf,73,266,0.895,geometry_vector,Appendix A.2 2018-2019 Salary Matrix AT-2 Licensure Level 2 Teachers &
P13,CONTROL,SD_of_Philadelphia_2021-2024.pdf,157,24,0.75,geometry_vector,Pay Grade 27
P14,B_mid,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,344,484,0.884,geometry_vector,PAY SCALE GROUP PAY SCALE LEVEL (Req. Pts.)** 1 2 * 3 4 5 6 7 8 9 10
P15,B_mid,33.pdf,691,595,0.716,geometry_vector,"SALARY SCHEDULE - SUPPORT STAFF, CONTINUED OFFICESUPPORT STEPS GRADE E"
P16,D_unverifiable,Pittsburgh_10-15.pdf,28,140,,legacy_vision,"Master's Degree, Master's Equivalent, Bachelor's + 30 Credits"
P17,C_low,SD_of_Philadelphia_2021-2024.pdf,148,148,0.0,geometry_vector,High School Athletic Coach Salaries
P18,CONTROL,ATF-Negotiated-Agreement_2018-19.pdf,72,140,0.857,geometry_vector,e Note: Salary figures presented on the following matrices are rounded
P19,D_unverifiable,Cleveland_Teachers_Union_Contract_2021-2024.pdf,164,114,0.956,legacy_vision,
P20,C_low,33.pdf,681,81,0.136,geometry_vector,4
P21,CONTROL,SD_of_Philadelphia_2021-2024.pdf,157,24,0.917,geometry_vector,Pay Grade 29 Step 9/1/20 9/1/21 9/1/22 9/1/23
P22,A_high,33.pdf,690,168,0.935,geometry_vector,"QUALIFIED), DEAFINTERPRETER I"
P23,A_high,17_19_ta_.pdf,3,218,0.968,geometry_vector,2018-19 Teachers Salary Schedule Tentative Agreement (TA)
P24,D_unverifiable,Cleveland_Teachers_Union_Contract_2021-2024.pdf,163,102,0.618,legacy_structured,
P25,A_high,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,328,484,0.903,geometry_vector,PAY SCALE GROUP PAY SCALE LEVEL
P26,D_unverifiable,Columbus_Education_Association_2022-2025.pdf,103,192,0.958,legacy_structured,902.03
P27,B_mid,ATF-Negotiated-Agreement_2018-19.pdf,77,270,0.885,geometry_vector,Level 1 Level 2 Level 3
